dia,habitat,punto,longitud,latitud
1,cultivo,1,17.566758,-95.476987
1,cultivo,2,17.557494,-95.495042
1,cultivo,3,17.546242,-95.508235
1,cultivo,4,17.535651,-95.519344
1,cultivo,5,17.525721,-95.532534
1,mezquitera,1,17.407845,-95.528041
1,mezquitera,2,17.390797,-95.533614
1,mezquitera,3,17.362238,-95.526649
1,mezquitera,4,17.345661,-95.520388
1,tetechera,1,17.465263,-95.516888
1,tetechera,2,17.445994,-95.50015
1,tetechera,3,17.451318,-95.477828
1,tetechera,4,17.440004,-95.455509
2,tetechera,1,17.436646,-95.406727
2,tetechera,2,17.421325,-95.365515
2,tetechera,3,17.419978,-95.345971
2,tetechera,4,17.411968,-95.322247
2,tetechera,5,17.41527,-95.297804
2,cultivo,1,17.51379,-95.547793
2,cultivo,2,17.49791,-95.545707
2,cultivo,3,17.503214,-95.532533
2,cultivo,4,17.50394,-95.494563
2,mezquitera,1,17.338971,-95.500892
2,mezquitera,2,17.344922,-95.478594
2,mezquitera,3,17.344257,-95.45562
2,mezquitera,4,17.353496,-95.438109
3,mezquitera,1,17.372858,-95.445216
3,mezquitera,2,17.375446,-95.422061
3,mezquitera,3,17.392741,-95.411591
3,mezquitera,4,17.406708,-95.399088
3,mezquitera,5,17.41071,-95.419335
3,tetechera,1,17.415906,-95.272661
3,tetechera,2,17.431869,-95.257945
3,tetechera,3,17.447856,-95.262808
3,tetechera,4,17.465175,-95.26767
3,cultivo,1,17.518575,-95.477116
3,cultivo,2,17.529214,-95.455483
3,cultivo,3,17.544505,-95.446416
3,cultivo,4,17.559158,-95.459658
4,tetechera,1,17.493141,-95.260619
4,tetechera,2,17.507818,-95.268237
4,tetechera,3,17.517139,-95.28994
4,tetechera,4,17.515822,-95.310208
4,tetechera,5,17.508512,-95.332577
4,mezquitera,1,17.421363,-95.438812
4,mezquitera,2,17.410728,-95.455541
4,mezquitera,3,17.414057,-95.472992
4,mezquitera,4,17.421377,-95.489008
4,cultivo,1,17.557786,-95.438761
4,cultivo,2,17.538481,-95.419254
4,cultivo,3,17.520545,-95.403134
4,cultivo,4,17.523195,-95.38009
5,cultivo,1,17.525843,-95.357041
5,cultivo,2,17.539811,-95.34166
5,cultivo,3,17.561776,-95.339541
5,cultivo,4,17.577744,-95.327645
5,cultivo,5,17.597059,-95.328306
5,tetechera,1,17.497203,-95.350754
5,tetechera,2,17.480565,-95.36195
5,tetechera,3,17.47658,-95.37941
5,tetechera,4,17.471931,-95.405245
5,mezquitera,1,17.403421,-95.485535
5,mezquitera,2,17.386807,-95.474418
5,mezquitera,3,17.374197,-95.491148
5,mezquitera,4,17.381497,-95.496706
6,mezquitera,1,17.396116,-95.506449
6,mezquitera,2,17.406084,-95.515495
6,mezquitera,3,17.414067,-95.525252
6,mezquitera,4,17.404088,-95.538499
6,mezquitera,5,17.386133,-95.542675
6,cultivo,1,17.603661,-95.347964
6,cultivo,2,17.604405,-95.370223
6,cultivo,3,17.596419,-95.391196
6,cultivo,4,17.573111,-95.416381
6,tetechera,1,17.481923,-95.43176
6,tetechera,2,17.491906,-95.449204
6,tetechera,3,17.489246,-95.470836
6,tetechera,4,17.487911,-95.493165
